iter	Passed	Remaining
482	597	639
483	598	637
484	599	636
485	599	634
486	600	632
487	601	631
488	602	630
489	604	628
490	605	627
491	605	625
492	607	624
493	608	622
494	609	621
495	610	620
496	611	618
497	611	616
498	612	615
499	613	613
500	614	612
501	615	610
502	616	609
503	617	607
504	619	606
505	620	605
506	620	603
507	622	602
508	623	601
509	624	599
510	625	598
511	625	596
512	626	595
513	627	593
514	628	592
515	629	590
516	630	588
517	631	587
518	632	586
519	633	584
520	634	583
521	635	581
522	636	580
523	637	579
524	638	577
525	639	576
526	641	575
527	642	574
528	643	572
529	644	571
530	645	569
531	646	568
532	647	567
533	649	566
534	649	564
535	650	563
536	651	561
537	652	560
538	653	559
539	654	557
540	656	556
541	656	555
542	658	553
543	658	552
544	659	550
545	660	549
546	661	548
547	663	546
548	663	545
549	665	544
550	666	542
551	667	541
552	668	539
553	668	538
554	669	537
555	671	535
556	672	534
557	673	533
558	674	532
559	675	530
560	676	529
561	677	528
562	679	527
563	680	525
564	680	524
565	681	522
566	683	521
567	683	520
568	685	518
569	685	517
570	686	516
571	687	514
572	688	513
573	689	511
574	690	510
575	692	509
576	693	508
577	694	506
578	695	505
579	696	504
580	697	503
581	698	501
582	699	500
583	700	499
584	701	497
585	702	496
586	703	495
587	704	493
588	706	492
589	707	491
590	708	490
591	709	489
592	711	488
593	712	486
594	713	485
595	715	484
596	716	483
597	717	482
598	718	480
599	719	479
600	720	478
601	722	477
602	723	476
603	724	474
604	725	473
605	726	472
606	726	470
607	727	469
608	728	467
609	729	466
610	730	465
611	731	464
612	732	462
613	733	461
614	734	460
615	736	459
616	738	458
617	739	456
618	740	455
619	741	454
620	743	453
621	744	452
622	745	450
623	746	449
624	747	448
625	748	447
626	749	445
627	750	444
628	751	443
629	753	442
630	754	441
631	755	439
632	756	438
633	758	437
634	759	436
635	760	435
636	761	433
637	762	432
638	763	431
639	764	430
640	766	429
641	767	427
642	768	426
643	769	425
644	770	423
645	771	422
646	772	421
647	774	420
648	775	419
649	776	417
650	777	416
651	778	415
652	779	414
653	780	412
654	782	411
655	783	410
656	784	409
657	785	408
658	786	407
659	788	405
660	789	404
661	790	403
662	791	402
663	792	400
664	793	399
665	794	398
666	795	397
667	796	396
668	798	394
669	799	393
670	800	392
671	802	391
672	803	390
673	804	388
674	805	387
675	806	386
676	807	385
677	808	383
678	809	382
679	810	381
680	811	380
681	813	379
682	814	377
683	814	376
684	815	375
685	817	373
686	818	372
687	819	371
688	820	370
689	821	369
690	822	367
691	823	366
692	825	365
693	826	364
694	827	363
695	828	362
696	830	360
697	831	359
698	832	358
699	833	357
700	834	356
701	835	354
702	836	353
703	837	352
704	838	350
705	840	349
706	841	348
707	842	347
708	843	346
709	845	345
710	846	344
711	847	342
712	848	341
713	849	340
714	850	339
715	851	337
716	852	336
717	853	335
718	855	334
719	856	333
720	857	331
721	858	330
722	859	329
723	860	328
724	861	326
725	862	325
726	863	324
727	864	322
728	865	321
729	866	320
730	867	319
731	869	318
732	870	316
733	871	315
734	872	314
735	873	313
736	874	312
737	875	310
738	876	309
739	877	308
740	878	307
741	879	305
742	880	304
743	881	303
744	882	302
745	884	300
746	885	299
747	886	298
748	887	297
749	888	296
750	889	294
751	890	293
752	891	292
753	892	291
754	893	289
755	894	288
756	895	287
757	897	286
758	898	285
759	899	283
760	900	282
761	901	281
762	902	280
763	903	278
764	904	277
765	905	276
766	906	275
767	907	273
768	907	272
769	909	271
770	910	270
771	911	269
772	912	268
773	913	266
774	914	265
775	916	264
776	917	263
777	918	262
778	919	260
779	921	259
780	921	258
781	922	257
782	923	255
783	924	254
784	926	253
785	927	252
786	928	251
787	929	250
788	930	248
789	931	247
790	932	246
791	933	245
792	934	243
793	935	242
794	936	241
795	937	240
796	938	239
797	939	237
798	941	236
799	942	235
800	942	234
801	943	233
802	945	231
803	946	230
804	947	229
805	949	228
806	950	227
807	951	226
808	952	224
809	953	223
810	954	222
811	955	221
812	956	220
813	957	218
814	958	217
815	960	216
816	962	215
817	963	214
818	964	213
819	965	211
820	966	210
821	967	209
822	969	208
823	970	207
824	971	206
825	972	204
826	973	203
827	974	202
828	975	201
829	976	200
830	978	198
831	979	197
832	980	196
833	981	195
834	982	194
835	983	192
836	984	191
837	985	190
838	986	189
839	987	188
840	988	186
841	990	185
842	992	184
843	993	183
844	994	182
845	995	181
846	996	180
847	997	178
848	998	177
849	1000	176
850	1001	175
851	1002	174
852	1003	172
853	1004	171
854	1005	170
855	1007	169
856	1008	168
857	1009	167
858	1010	165
859	1011	164
860	1012	163
861	1013	162
862	1015	161
863	1016	160
864	1017	158
865	1018	157
866	1019	156
867	1020	155
868	1021	154
869	1022	152
870	1023	151
871	1024	150
872	1025	149
873	1027	148
874	1028	146
875	1029	145
876	1030	144
877	1031	143
878	1032	142
879	1033	140
880	1034	139
881	1036	138
882	1037	137
883	1038	136
884	1039	135
885	1040	133
886	1041	132
887	1042	131
888	1044	130
889	1045	129
890	1046	128
891	1047	126
892	1048	125
893	1049	124
894	1050	123
895	1051	122
896	1052	120
897	1053	119
898	1054	118
899	1055	117
900	1056	116
901	1057	114
902	1059	113
903	1060	112
904	1061	111
905	1062	110
906	1063	109
907	1064	107
908	1065	106
909	1066	105
910	1068	104
911	1069	103
912	1070	101
913	1071	100
914	1072	99
915	1074	98
916	1075	97
917	1076	96
918	1077	94
919	1078	93
920	1079	92
921	1080	91
922	1081	90
923	1082	89
924	1083	87
925	1084	86
926	1085	85
927	1086	84
928	1087	83
929	1088	81
930	1090	80
931	1091	79
932	1092	78
933	1093	77
934	1094	76
935	1096	74
936	1097	73
937	1098	72
938	1099	71
939	1100	70
940	1101	69
941	1103	67
942	1104	66
943	1105	65
944	1106	64
945	1107	63
946	1108	62
947	1110	60
948	1110	59
949	1111	58
950	1112	57
951	1113	56
952	1114	54
953	1116	53
954	1117	52
955	1118	51
956	1119	50
957	1120	49
958	1121	47
959	1122	46
960	1124	45
961	1125	44
962	1126	43
963	1127	42
964	1128	40
965	1129	39
966	1129	38
967	1131	37
968	1132	36
969	1133	35
970	1135	33
971	1135	32
972	1136	31
973	1138	30
974	1139	29
975	1140	28
976	1141	26
977	1142	25
978	1143	24
979	1144	23
980	1145	22
981	1146	21
982	1147	19
983	1148	18
984	1149	17
985	1150	16
986	1151	15
987	1152	14
988	1154	12
989	1155	11
990	1156	10
991	1157	9
992	1158	8
993	1159	6
994	1160	5
995	1161	4
996	1163	3
997	1164	2
998	1165	1
999	1166	0
